BusinessEntityID;TotalPurchaseYTD;DateFirstPurchase;BirthDate;MaritalStatus;YearlyIncome;Gender;TotalChildren;NumberChildrenAtHome;Education;Occupation;HomeOwnerFlag;NumberCarsOwned;etlloadid;etlloaddate
931;-14427.258;;;;;;;;;;;;12371;07-11-2018
945;-7624.998;;;;;;;;;;;;12371;07-11-2018
963;-12689.308;;;;;;;;;;;;12371;07-11-2018
981;-2864.8513;;;;;;;;;;;;12371;07-11-2018
995;-288.0;;;;;;;;;;;;12371;07-11-2018
1013;-10583.34;;;;;;;;;;;;12371;07-11-2018
1031;-46721.473;;;;;;;;;;;;12371;07-11-2018
1045;-7997.9136;;;;;;;;;;;;12371;07-11-2018
1063;-3963.3523;;;;;;;;;;;;12371;07-11-2018
1081;-3706.0356;;;;;;;;;;;;12371;07-11-2018
1095;-5615.8965;;;;;;;;;;;;12371;07-11-2018
1113;-4606.922;;;;;;;;;;;;12371;07-11-2018
1131;-917.506;;;;;;;;;;;;12371;07-11-2018
1145;-9595.511;;;;;;;;;;;;12371;07-11-2018
1163;-25101.045;;;;;;;;;;;;12371;07-11-2018
1181;-29819.777;;;;;;;;;;;;12371;07-11-2018
1195;-2041.188;;;;;;;;;;;;12371;07-11-2018
1199;-9703.881;;;;;;;;;;;;12371;07-11-2018
1213;-12267.621;;;;;;;;;;;;12371;07-11-2018
1231;-155.964;;;;;;;;;;;;12371;07-11-2018
1249;-8249.076;;;;;;;;;;;;12371;07-11-2018
1263;0.0;;;;;;;;;;;;12371;07-11-2018
1281;-2855.4985;;;;;;;;;;;;12371;07-11-2018
1299;-3719.412;;;;;;;;;;;;12371;07-11-2018
1313;0.0;;;;;;;;;;;;12371;07-11-2018
1331;-35549.746;;;;;;;;;;;;12371;07-11-2018
1349;-21227.29;;;;;;;;;;;;12371;07-11-2018
1363;-5434.7104;;;;;;;;;;;;12371;07-11-2018
1381;-563.946;;;;;;;;;;;;12371;07-11-2018
1399;-3492.8728;;;;;;;;;;;;12371;07-11-2018
1413;-12044.957;;;;;;;;;;;;12371;07-11-2018
14;0.0;;;;;;;;;;;;12371;07-11-2018
16;0.0;;;;;;;;;;;;12371;07-11-2018
31;0.0;;;;;;;;;;;;12371;07-11-2018
33;0.0;;;;;;;;;;;;12371;07-11-2018
46;0.0;;;;;;;;;;;;12371;07-11-2018
48;0.0;;;;;;;;;;;;12371;07-11-2018
50;0.0;;;;;;;;;;;;12371;07-11-2018
63;0.0;;;;;;;;;;;;12371;07-11-2018
65;0.0;;;;;;;;;;;;12371;07-11-2018
80;0.0;;;;;;;;;;;;12371;07-11-2018
82;0.0;;;;;;;;;;;;12371;07-11-2018
97;0.0;;;;;;;;;;;;12371;07-11-2018
99;0.0;;;;;;;;;;;;12371;07-11-2018
114;0.0;;;;;;;;;;;;12371;07-11-2018
116;0.0;;;;;;;;;;;;12371;07-11-2018
131;0.0;;;;;;;;;;;;12371;07-11-2018
133;0.0;;;;;;;;;;;;12371;07-11-2018
148;0.0;;;;;;;;;;;;12371;07-11-2018
150;0.0;;;;;;;;;;;;12371;07-11-2018
163;0.0;;;;;;;;;;;;12371;07-11-2018
165;0.0;;;;;;;;;;;;12371;07-11-2018
167;0.0;;;;;;;;;;;;12371;07-11-2018
180;0.0;;;;;;;;;;;;12371;07-11-2018
182;0.0;;;;;;;;;;;;12371;07-11-2018
197;0.0;;;;;;;;;;;;12371;07-11-2018
199;0.0;;;;;;;;;;;;12371;07-11-2018
214;0.0;;;;;;;;;;;;12371;07-11-2018
216;0.0;;;;;;;;;;;;12371;07-11-2018
231;0.0;;;;;;;;;;;;12371;07-11-2018
233;0.0;;;;;;;;;;;;12371;07-11-2018
248;0.0;;;;;;;;;;;;12371;07-11-2018
250;0.0;;;;;;;;;;;;12371;07-11-2018
265;0.0;;;;;;;;;;;;12371;07-11-2018
267;0.0;;;;;;;;;;;;12371;07-11-2018
280;0.0;;;;;;;;;;;;12371;07-11-2018
282;0.0;;;;;;;;;;;;12371;07-11-2018
284;0.0;;;;;;;;;;;;12371;07-11-2018
297;-20021.053;;;;;;;;;;;;12371;07-11-2018
299;-5158.224;;;;;;;;;;;;12371;07-11-2018
331;-4520.0576;;;;;;;;;;;;12371;07-11-2018
333;-20478.69;;;;;;;;;;;;12371;07-11-2018
365;-8913.899;;;;;;;;;;;;12371;07-11-2018
367;-20697.562;;;;;;;;;;;;12371;07-11-2018
397;-8975.023;;;;;;;;;;;;12371;07-11-2018
399;0.0;;;;;;;;;;;;12371;07-11-2018
401;0.0;;;;;;;;;;;;12371;07-11-2018
431;-18088.887;;;;;;;;;;;;12371;07-11-2018
433;0.0;;;;;;;;;;;;12371;07-11-2018
465;-11626.01;;;;;;;;;;;;12371;07-11-2018
467;0.0;;;;;;;;;;;;12371;07-11-2018
499;0.0;;;;;;;;;;;;12371;07-11-2018
501;-207.7498;;;;;;;;;;;;12371;07-11-2018
531;-2296.5305;;;;;;;;;;;;12371;07-11-2018
533;-3947.687;;;;;;;;;;;;12371;07-11-2018
565;-2324.55;;;;;;;;;;;;12371;07-11-2018
567;-2761.32;;;;;;;;;;;;12371;07-11-2018
599;-9999.208;;;;;;;;;;;;12371;07-11-2018
601;-7333.5317;;;;;;;;;;;;12371;07-11-2018
631;-8697.475;;;;;;;;;;;;12371;07-11-2018
633;-3532.986;;;;;;;;;;;;12371;07-11-2018
635;-6357.384;;;;;;;;;;;;12371;07-11-2018
665;-479.898;;;;;;;;;;;;12371;07-11-2018
667;-15720.937;;;;;;;;;;;;12371;07-11-2018
699;-4951.61;;;;;;;;;;;;12371;07-11-2018
701;-6973.188;;;;;;;;;;;;12371;07-11-2018
733;-6044.7466;;;;;;;;;;;;12371;07-11-2018
735;-3294.282;;;;;;;;;;;;12371;07-11-2018
765;-6587.5796;;;;;;;;;;;;12371;07-11-2018
767;-3116.493;;;;;;;;;;;;12371;07-11-2018
799;-205.321;;;;;;;;;;;;12371;07-11-2018
801;-6047.245;;;;;;;;;;;;12371;07-11-2018
833;-2289.8923;;;;;;;;;;;;12371;07-11-2018
835;-3214.836;;;;;;;;;;;;12371;07-11-2018
865;0.0;;;;;;;;;;;;12371;07-11-2018
867;-2159.7349;;;;;;;;;;;;12371;07-11-2018
869;-397.3725;;;;;;;;;;;;12371;07-11-2018
899;-958.101;;;;;;;;;;;;12371;07-11-2018
901;-2857.187;;;;;;;;;;;;12371;07-11-2018
933;-5212.8877;;;;;;;;;;;;12371;07-11-2018
935;-20439.154;;;;;;;;;;;;12371;07-11-2018
967;0.0;;;;;;;;;;;;12371;07-11-2018
969;-34326.27;;;;;;;;;;;;12371;07-11-2018
999;-8637.408;;;;;;;;;;;;12371;07-11-2018
1001;-14594.354;;;;;;;;;;;;12371;07-11-2018
1033;-3351.4348;;;;;;;;;;;;12371;07-11-2018
1035;-11660.202;;;;;;;;;;;;12371;07-11-2018
1067;-3953.4114;;;;;;;;;;;;12371;07-11-2018
1069;-1045.1786;;;;;;;;;;;;12371;07-11-2018
1099;-2405.97;;;;;;;;;;;;12371;07-11-2018
1101;-1457.7952;;;;;;;;;;;;12371;07-11-2018
1103;0.0;;;;;;;;;;;;12371;07-11-2018
1133;-4334.528;;;;;;;;;;;;12371;07-11-2018
1135;-6660.5166;;;;;;;;;;;;12371;07-11-2018
1167;-362.4763;;;;;;;;;;;;12371;07-11-2018
1169;-5191.6963;;;;;;;;;;;;12371;07-11-2018
1201;-3805.8794;;;;;;;;;;;;12371;07-11-2018
1203;-2501.407;;;;;;;;;;;;12371;07-11-2018
1233;-4551.4814;;;;;;;;;;;;12371;07-11-2018
1235;-1286.282;;;;;;;;;;;;12371;07-11-2018
1267;0.0;;;;;;;;;;;;12371;07-11-2018
1269;-18996.64;;;;;;;;;;;;12371;07-11-2018
1301;-2258.4124;;;;;;;;;;;;12371;07-11-2018
1303;-17090.4;;;;;;;;;;;;12371;07-11-2018
1333;-9708.251;;;;;;;;;;;;12371;07-11-2018
1335;-3522.0981;;;;;;;;;;;;12371;07-11-2018
1367;-4463.957;;;;;;;;;;;;12371;07-11-2018
1369;-3699.894;;;;;;;;;;;;12371;07-11-2018
1401;0.0;;;;;;;;;;;;12371;07-11-2018
1403;-26077.158;;;;;;;;;;;;12371;07-11-2018
3;0.0;;;;;;;;;;;;12371;07-11-2018
10;0.0;;;;;;;;;;;;12371;07-11-2018
12;0.0;;;;;;;;;;;;12371;07-11-2018
35;0.0;;;;;;;;;;;;12371;07-11-2018
37;0.0;;;;;;;;;;;;12371;07-11-2018
42;0.0;;;;;;;;;;;;12371;07-11-2018
44;0.0;;;;;;;;;;;;12371;07-11-2018
67;0.0;;;;;;;;;;;;12371;07-11-2018
69;0.0;;;;;;;;;;;;12371;07-11-2018
71;0.0;;;;;;;;;;;;12371;07-11-2018
76;0.0;;;;;;;;;;;;12371;07-11-2018
78;0.0;;;;;;;;;;;;12371;07-11-2018
101;0.0;;;;;;;;;;;;12371;07-11-2018
103;0.0;;;;;;;;;;;;12371;07-11-2018
110;0.0;;;;;;;;;;;;12371;07-11-2018
112;0.0;;;;;;;;;;;;12371;07-11-2018
135;0.0;;;;;;;;;;;;12371;07-11-2018
137;0.0;;;;;;;;;;;;12371;07-11-2018
144;0.0;;;;;;;;;;;;12371;07-11-2018
146;0.0;;;;;;;;;;;;12371;07-11-2018
169;0.0;;;;;;;;;;;;12371;07-11-2018
171;0.0;;;;;;;;;;;;12371;07-11-2018
176;0.0;;;;;;;;;;;;12371;07-11-2018
178;0.0;;;;;;;;;;;;12371;07-11-2018
201;0.0;;;;;;;;;;;;12371;07-11-2018
203;0.0;;;;;;;;;;;;12371;07-11-2018
210;0.0;;;;;;;;;;;;12371;07-11-2018
212;0.0;;;;;;;;;;;;12371;07-11-2018
235;0.0;;;;;;;;;;;;12371;07-11-2018
237;0.0;;;;;;;;;;;;12371;07-11-2018
244;0.0;;;;;;;;;;;;12371;07-11-2018
246;0.0;;;;;;;;;;;;12371;07-11-2018
1;0.0;;;;;;;;;;;;12371;07-11-2018
269;0.0;;;;;;;;;;;;12371;07-11-2018
271;0.0;;;;;;;;;;;;12371;07-11-2018
276;0.0;;;;;;;;;;;;12371;07-11-2018
278;0.0;;;;;;;;;;;;12371;07-11-2018
301;-14477.237;;;;;;;;;;;;12371;07-11-2018
303;-2421.02;;;;;;;;;;;;12371;07-11-2018
305;-22476.234;;;;;;;;;;;;12371;07-11-2018
335;-298.062;;;;;;;;;;;;12371;07-11-2018
337;-4994.538;;;;;;;;;;;;12371;07-11-2018
369;-4108.896;;;;;;;;;;;;12371;07-11-2018
371;-7693.8213;;;;;;;;;;;;12371;07-11-2018
403;0.0;;;;;;;;;;;;12371;07-11-2018
405;-915.0252;;;;;;;;;;;;12371;07-11-2018
435;-3645.816;;;;;;;;;;;;12371;07-11-2018
437;-1000.1139;;;;;;;;;;;;12371;07-11-2018
569;-19859.29;;;;;;;;;;;;12371;07-11-2018
571;0.0;;;;;;;;;;;;12371;07-11-2018
603;-352.9867;;;;;;;;;;;;12371;07-11-2018
605;0.0;;;;;;;;;;;;12371;07-11-2018
637;-5623.4146;;;;;;;;;;;;12371;07-11-2018
639;-5167.734;;;;;;;;;;;;12371;07-11-2018
669;-1803.228;;;;;;;;;;;;12371;07-11-2018
671;-8958.115;;;;;;;;;;;;12371;07-11-2018
703;-18314.945;;;;;;;;;;;;12371;07-11-2018
705;-3389.37;;;;;;;;;;;;12371;07-11-2018
737;-12448.515;;;;;;;;;;;;12371;07-11-2018
739;-4170.8765;;;;;;;;;;;;12371;07-11-2018
769;-10586.106;;;;;;;;;;;;12371;07-11-2018
771;-5592.5317;;;;;;;;;;;;12371;07-11-2018
803;-17479.758;;;;;;;;;;;;12371;07-11-2018
805;-9402.006;;;;;;;;;;;;12371;07-11-2018
837;-4223.364;;;;;;;;;;;;12371;07-11-2018
839;-3528.0164;;;;;;;;;;;;12371;07-11-2018
871;-2539.0237;;;;;;;;;;;;12371;07-11-2018
873;-3483.0417;;;;;;;;;;;;12371;07-11-2018
903;-3152.1667;;;;;;;;;;;;12371;07-11-2018
905;-2030.7338;;;;;;;;;;;;12371;07-11-2018
937;-6453.476;;;;;;;;;;;;12371;07-11-2018
939;-2236.2888;;;;;;;;;;;;12371;07-11-2018
971;-400.104;;;;;;;;;;;;12371;07-11-2018
973;-4225.708;;;;;;;;;;;;12371;07-11-2018
1003;-4035.6528;;;;;;;;;;;;12371;07-11-2018
1005;0.0;;;;;;;;;;;;12371;07-11-2018
1037;-5294.398;;;;;;;;;;;;12371;07-11-2018
1039;-25165.217;;;;;;;;;;;;12371;07-11-2018
1071;-2850.2449;;;;;;;;;;;;12371;07-11-2018
1073;-2096.5437;;;;;;;;;;;;12371;07-11-2018
537;-4852.752;;;;;;;;;;;;12371;07-11-2018
535;-4605.3477;;;;;;;;;;;;12371;07-11-2018
505;-3134.513;;;;;;;;;;;;12371;07-11-2018
503;-6234.4453;;;;;;;;;;;;12371;07-11-2018
471;-3545.613;;;;;;;;;;;;12371;07-11-2018
469;0.0;;;;;;;;;;;;12371;07-11-2018
1105;-780.109;;;;;;;;;;;;12371;07-11-2018
1107;-11622.427;;;;;;;;;;;;12371;07-11-2018
1137;-6167.824;;;;;;;;;;;;12371;07-11-2018
1139;-366.252;;;;;;;;;;;;12371;07-11-2018
1171;-135.078;;;;;;;;;;;;12371;07-11-2018
1173;-18655.043;;;;;;;;;;;;12371;07-11-2018
1205;-16724.43;;;;;;;;;;;;12371;07-11-2018
1207;0.0;;;;;;;;;;;;12371;07-11-2018
1237;-1823.958;;;;;;;;;;;;12371;07-11-2018
1239;-12412.6455;;;;;;;;;;;;12371;07-11-2018
1271;-4754.928;;;;;;;;;;;;12371;07-11-2018
1273;-5146.644;;;;;;;;;;;;12371;07-11-2018
1305;-4256.302;;;;;;;;;;;;12371;07-11-2018
1307;-4165.5586;;;;;;;;;;;;12371;07-11-2018
1337;-20972.484;;;;;;;;;;;;12371;07-11-2018
1339;-2978.3264;;;;;;;;;;;;12371;07-11-2018
1341;-3024.8796;;;;;;;;;;;;12371;07-11-2018
1371;-6857.345;;;;;;;;;;;;12371;07-11-2018
1373;-16286.946;;;;;;;;;;;;12371;07-11-2018
1405;-10443.805;;;;;;;;;;;;12371;07-11-2018
1407;-824.73;;;;;;;;;;;;12371;07-11-2018
1439;-5733.978;;;;;;;;;;;;12371;07-11-2018
1441;-1019.2958;;;;;;;;;;;;12371;07-11-2018
26;0.0;;;;;;;;;;;;12371;07-11-2018
28;0.0;;;;;;;;;;;;12371;07-11-2018
51;0.0;;;;;;;;;;;;12371;07-11-2018
53;0.0;;;;;;;;;;;;12371;07-11-2018
60;0.0;;;;;;;;;;;;12371;07-11-2018
62;0.0;;;;;;;;;;;;12371;07-11-2018
85;0.0;;;;;;;;;;;;12371;07-11-2018
87;0.0;;;;;;;;;;;;12371;07-11-2018
92;0.0;;;;;;;;;;;;12371;07-11-2018
94;0.0;;;;;;;;;;;;12371;07-11-2018
96;0.0;;;;;;;;;;;;12371;07-11-2018
117;0.0;;;;;;;;;;;;12371;07-11-2018
119;0.0;;;;;;;;;;;;12371;07-11-2018
121;0.0;;;;;;;;;;;;12371;07-11-2018
126;0.0;;;;;;;;;;;;12371;07-11-2018
128;0.0;;;;;;;;;;;;12371;07-11-2018
151;0.0;;;;;;;;;;;;12371;07-11-2018
153;0.0;;;;;;;;;;;;12371;07-11-2018
160;0.0;;;;;;;;;;;;12371;07-11-2018
162;0.0;;;;;;;;;;;;12371;07-11-2018
185;0.0;;;;;;;;;;;;12371;07-11-2018
187;0.0;;;;;;;;;;;;12371;07-11-2018
194;0.0;;;;;;;;;;;;12371;07-11-2018
196;0.0;;;;;;;;;;;;12371;07-11-2018
219;0.0;;;;;;;;;;;;12371;07-11-2018
221;0.0;;;;;;;;;;;;12371;07-11-2018
226;0.0;;;;;;;;;;;;12371;07-11-2018
228;0.0;;;;;;;;;;;;12371;07-11-2018
251;0.0;;;;;;;;;;;;12371;07-11-2018
253;0.0;;;;;;;;;;;;12371;07-11-2018
260;0.0;;;;;;;;;;;;12371;07-11-2018
262;0.0;;;;;;;;;;;;12371;07-11-2018
19;0.0;;;;;;;;;;;;12371;07-11-2018
17;0.0;;;;;;;;;;;;12371;07-11-2018
285;0.0;;;;;;;;;;;;12371;07-11-2018
287;0.0;;;;;;;;;;;;12371;07-11-2018
319;-5277.05;;;;;;;;;;;;12371;07-11-2018
321;0.0;;;;;;;;;;;;12371;07-11-2018
351;-8785.453;;;;;;;;;;;;12371;07-11-2018
353;-3587.3245;;;;;;;;;;;;12371;07-11-2018
355;-14020.323;;;;;;;;;;;;12371;07-11-2018
385;-3615.5276;;;;;;;;;;;;12371;07-11-2018
387;-10112.904;;;;;;;;;;;;12371;07-11-2018
419;-2172.078;;;;;;;;;;;;12371;07-11-2018
421;-10261.052;;;;;;;;;;;;12371;07-11-2018
453;-4314.7686;;;;;;;;;;;;12371;07-11-2018
455;-3154.584;;;;;;;;;;;;12371;07-11-2018
485;0.0;;;;;;;;;;;;12371;07-11-2018
487;-4101.288;;;;;;;;;;;;12371;07-11-2018
519;-5744.6577;;;;;;;;;;;;12371;07-11-2018
521;-5008.2744;;;;;;;;;;;;12371;07-11-2018
553;-12969.341;;;;;;;;;;;;12371;07-11-2018
555;-2769.079;;;;;;;;;;;;12371;07-11-2018
585;-4302.218;;;;;;;;;;;;12371;07-11-2018
587;-669.0;;;;;;;;;;;;12371;07-11-2018
589;-4883.985;;;;;;;;;;;;12371;07-11-2018
619;-5525.13;;;;;;;;;;;;12371;07-11-2018
621;-12330.318;;;;;;;;;;;;12371;07-11-2018
653;-16461.016;;;;;;;;;;;;12371;07-11-2018
655;-2641.7627;;;;;;;;;;;;12371;07-11-2018
687;-6801.876;;;;;;;;;;;;12371;07-11-2018
689;-2447.622;;;;;;;;;;;;12371;07-11-2018
719;-4712.441;;;;;;;;;;;;12371;07-11-2018
721;-2572.122;;;;;;;;;;;;12371;07-11-2018
753;-11372.322;;;;;;;;;;;;12371;07-11-2018
755;0.0;;;;;;;;;;;;12371;07-11-2018
787;-6274.9517;;;;;;;;;;;;12371;07-11-2018
789;-22297.092;;;;;;;;;;;;12371;07-11-2018
819;-14892.837;;;;;;;;;;;;12371;07-11-2018
821;-4795.268;;;;;;;;;;;;12371;07-11-2018
823;-13619.052;;;;;;;;;;;;12371;07-11-2018
853;-1876.518;;;;;;;;;;;;12371;07-11-2018
855;-17817.887;;;;;;;;;;;;12371;07-11-2018
887;-2689.176;;;;;;;;;;;;12371;07-11-2018
889;-1882.7904;;;;;;;;;;;;12371;07-11-2018
921;-48.588;;;;;;;;;;;;12371;07-11-2018
923;-838.9178;;;;;;;;;;;;12371;07-11-2018
953;-12751.489;;;;;;;;;;;;12371;07-11-2018
955;0.0;;;;;;;;;;;;12371;07-11-2018
987;-7294.722;;;;;;;;;;;;12371;07-11-2018
989;-2675.0798;;;;;;;;;;;;12371;07-11-2018
1021;-12199.164;;;;;;;;;;;;12371;07-11-2018
1023;-3689.9268;;;;;;;;;;;;12371;07-11-2018
1053;-2669.1108;;;;;;;;;;;;12371;07-11-2018
1055;-6056.8247;;;;;;;;;;;;12371;07-11-2018
1057;0.0;;;;;;;;;;;;12371;07-11-2018
1087;-1824.036;;;;;;;;;;;;12371;07-11-2018
1089;-5444.0303;;;;;;;;;;;;12371;07-11-2018
1121;-400.104;;;;;;;;;;;;12371;07-11-2018
1123;0.0;;;;;;;;;;;;12371;07-11-2018
1155;-5914.4175;;;;;;;;;;;;12371;07-11-2018
1157;-8840.028;;;;;;;;;;;;12371;07-11-2018
1187;-11388.789;;;;;;;;;;;;12371;07-11-2018
1189;0.0;;;;;;;;;;;;12371;07-11-2018
1221;0.0;;;;;;;;;;;;12371;07-11-2018
1223;-1258.3767;;;;;;;;;;;;12371;07-11-2018
1255;-2165.733;;;;;;;;;;;;12371;07-11-2018
1257;-7283.2227;;;;;;;;;;;;12371;07-11-2018
1287;-404.664;;;;;;;;;;;;12371;07-11-2018
1289;-12476.144;;;;;;;;;;;;12371;07-11-2018
1291;-2916.0889;;;;;;;;;;;;12371;07-11-2018
1321;-5389.5337;;;;;;;;;;;;12371;07-11-2018
1323;-7294.425;;;;;;;;;;;;12371;07-11-2018
1355;-4567.238;;;;;;;;;;;;12371;07-11-2018
1357;-18027.525;;;;;;;;;;;;12371;07-11-2018
1389;0.0;;;;;;;;;;;;12371;07-11-2018
1391;-7507.252;;;;;;;;;;;;12371;07-11-2018
1421;-10262.769;;;;;;;;;;;;12371;07-11-2018
1423;-16876.352;;;;;;;;;;;;12371;07-11-2018
43;0.0;;;;;;;;;;;;12371;07-11-2018
54;0.0;;;;;;;;;;;;12371;07-11-2018
61;0.0;;;;;;;;;;;;12371;07-11-2018
68;0.0;;;;;;;;;;;;12371;07-11-2018
79;0.0;;;;;;;;;;;;12371;07-11-2018
86;0.0;;;;;;;;;;;;12371;07-11-2018
93;0.0;;;;;;;;;;;;12371;07-11-2018
104;0.0;;;;;;;;;;;;12371;07-11-2018
111;0.0;;;;;;;;;;;;12371;07-11-2018
118;0.0;;;;;;;;;;;;12371;07-11-2018
129;0.0;;;;;;;;;;;;12371;07-11-2018
136;0.0;;;;;;;;;;;;12371;07-11-2018
143;0.0;;;;;;;;;;;;12371;07-11-2018
154;0.0;;;;;;;;;;;;12371;07-11-2018
161;0.0;;;;;;;;;;;;12371;07-11-2018
168;0.0;;;;;;;;;;;;12371;07-11-2018
179;0.0;;;;;;;;;;;;12371;07-11-2018
186;0.0;;;;;;;;;;;;12371;07-11-2018
193;0.0;;;;;;;;;;;;12371;07-11-2018
204;0.0;;;;;;;;;;;;12371;07-11-2018
211;0.0;;;;;;;;;;;;12371;07-11-2018
218;0.0;;;;;;;;;;;;12371;07-11-2018
229;0.0;;;;;;;;;;;;12371;07-11-2018
236;0.0;;;;;;;;;;;;12371;07-11-2018
243;0.0;;;;;;;;;;;;12371;07-11-2018
254;0.0;;;;;;;;;;;;12371;07-11-2018
261;0.0;;;;;;;;;;;;12371;07-11-2018
268;0.0;;;;;;;;;;;;12371;07-11-2018
279;0.0;;;;;;;;;;;;12371;07-11-2018
286;0.0;;;;;;;;;;;;12371;07-11-2018
293;-3943.7544;;;;;;;;;;;;12371;07-11-2018
311;-12897.622;;;;;;;;;;;;12371;07-11-2018
36;0.0;;;;;;;;;;;;12371;07-11-2018
29;0.0;;;;;;;;;;;;12371;07-11-2018
18;0.0;;;;;;;;;;;;12371;07-11-2018
11;0.0;;;;;;;;;;;;12371;07-11-2018
4;0.0;;;;;;;;;;;;12371;07-11-2018
329;-1267.422;;;;;;;;;;;;12371;07-11-2018
343;-15764.8125;;;;;;;;;;;;12371;07-11-2018
361;-6481.611;;;;;;;;;;;;12371;07-11-2018
379;-8582.652;;;;;;;;;;;;12371;07-11-2018
393;-3179.724;;;;;;;;;;;;12371;07-11-2018
411;-6635.3335;;;;;;;;;;;;12371;07-11-2018
429;-131.2036;;;;;;;;;;;;12371;07-11-2018
443;-2164.998;;;;;;;;;;;;12371;07-11-2018
447;0.0;;;;;;;;;;;;12371;07-11-2018
461;0.0;;;;;;;;;;;;12371;07-11-2018
